Age,Gender,Education_Level,Income_Level,Democracy_Rating,Trust_in_Government,Voted_Last_Election,Political_Knowledge,Media_Consumption,Social_Equality_Support
37,Male,Bachelor's,Middle,10,3,No,10,Daily,5
30,Female,High School,Low,10,2,No,8,Daily,2
45,Female,Bachelor's,Low,3,2,No,6,Daily,5
65,Female,Bachelor's,High,10,4,Yes,8,Weekly,5
46,Male,Bachelor's,Middle,7,2,Yes,6,Daily,4
30,Male,Bachelor's,Low,7,3,Yes,10,Weekly,4
63,Female,Bachelor's,Middle,10,4,Yes,9,Rarely,5
52,Male,Master's,Middle,10,4,Yes,4,Daily,4
78,Female,High School,Middle,9,2,No,4,Rarely,4
23,Female,Bachelor's,High,6,5,Yes,5,Daily,5
35,Female,Master's,Middle,8,5,Yes,4,Rarely,4
68,Female,Bachelor's,Low,4,4,Yes,8,Daily,5
22,Female,Bachelor's,High,6,2,Yes,10,Weekly,5
64,Female,Bachelor's,High,5,5,Yes,10,Daily,5
42,Female,Bachelor's,Low,6,2,No,10,Rarely,5
19,Female,Master's,Low,7,2,Yes,10,Weekly,5
27,Male,Bachelor's,Low,6,4,No,9,Daily,3
73,Male,PhD,Middle,9,4,Yes,10,Weekly,3
47,Female,High School,Middle,4,1,Yes,9,Daily,1
67,Male,High School,Middle,6,5,Yes,7,Weekly,4
76,Male,Bachelor's,High,10,5,No,10,Rarely,5
62,Male,High School,Middle,5,5,No,4,Daily,3
22,Female,High School,Low,7,3,Yes,10,Daily,5
72,Female,High School,Low,8,2,Yes,10,Daily,3
73,Female,High School,Middle,10,4,Yes,10,Weekly,5
50,Female,High School,Low,3,5,Yes,5,Daily,5
71,Female,PhD,Middle,10,1,No,10,Daily,3
18,Male,High School,High,4,5,Yes,10,Daily,5
35,Female,Bachelor's,Low,3,2,Yes,4,Daily,4
49,Male,Master's,Middle,6,2,Yes,5,Never,3
64,Female,Master's,Middle,4,4,Yes,10,Daily,5
66,Female,High School,Middle,5,3,Yes,4,Weekly,5
